START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
1.117 ,1.030 ,0.958 ,0.895 ,
1.162 ,1.127 ,1.067 ,0.920 ,
1.434 ,1.241 ,1.130 ,1.007 ,
1.819 ,1.426 ,1.224 ,1.017 ,
2.567 ,1.726 ,1.335 ,1.020 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
1.088 ,1.001 ,0.930 ,0.867 ,
1.097 ,1.066 ,1.007 ,0.863 ,
1.266 ,1.103 ,1.001 ,0.882 ,
1.473 ,1.189 ,1.016 ,0.827 ,
1.850 ,1.341 ,1.036 ,0.766 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
0.505 ,0.730 ,0.797 ,0.974 ,
0.578 ,0.782 ,0.893 ,0.986 ,
0.617 ,0.863 ,0.974 ,1.138 ,
0.653 ,0.968 ,1.100 ,1.208 ,
0.599 ,1.097 ,1.227 ,1.317 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
0.492 ,0.722 ,0.790 ,0.967 ,
0.526 ,0.758 ,0.874 ,0.969 ,
0.424 ,0.784 ,0.919 ,1.095 ,
0.237 ,0.798 ,0.988 ,1.132 ,
-0.05 ,0.799 ,1.038 ,1.196 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
1.113 ,1.028 ,0.957 ,0.895 ,
1.154 ,1.123 ,1.066 ,0.922 ,
1.412 ,1.230 ,1.126 ,1.012 ,
1.748 ,1.394 ,1.212 ,1.026 ,
2.360 ,1.638 ,1.307 ,1.034 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
1.089 ,1.004 ,0.934 ,0.872 ,
1.101 ,1.071 ,1.015 ,0.874 ,
1.275 ,1.115 ,1.018 ,0.906 ,
1.477 ,1.200 ,1.039 ,0.864 ,
1.830 ,1.333 ,1.059 ,0.817 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
0.505 ,0.730 ,0.797 ,0.973 ,
0.578 ,0.782 ,0.892 ,0.986 ,
0.623 ,0.866 ,0.972 ,1.139 ,
0.676 ,0.974 ,1.102 ,1.212 ,
0.664 ,1.101 ,1.228 ,1.322 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
0.496 ,0.723 ,0.791 ,0.967 ,
0.540 ,0.763 ,0.877 ,0.971 ,
0.481 ,0.805 ,0.929 ,1.104 ,
0.361 ,0.845 ,1.015 ,1.150 ,
0.141 ,0.875 ,1.081 ,1.224 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
1.109 ,1.025 ,0.956 ,0.896 ,
1.146 ,1.118 ,1.064 ,0.925 ,
1.392 ,1.219 ,1.123 ,1.020 ,
1.684 ,1.363 ,1.201 ,1.037 ,
2.151 ,1.550 ,1.276 ,1.050 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
1.090 ,1.007 ,0.939 ,0.878 ,
1.106 ,1.079 ,1.025 ,0.888 ,
1.293 ,1.133 ,1.040 ,0.938 ,
1.495 ,1.220 ,1.071 ,0.913 ,
1.811 ,1.332 ,1.091 ,0.881 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
0.505 ,0.729 ,0.796 ,0.973 ,
0.580 ,0.782 ,0.892 ,0.985 ,
0.637 ,0.872 ,0.975 ,1.142 ,
0.710 ,0.989 ,1.111 ,1.219 ,
0.727 ,1.112 ,1.240 ,1.332 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
0.499 ,0.725 ,0.792 ,0.968 ,
0.557 ,0.770 ,0.881 ,0.975 ,
0.549 ,0.832 ,0.945 ,1.116 ,
0.512 ,0.905 ,1.052 ,1.174 ,
0.385 ,0.977 ,1.140 ,1.262 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
1.103 ,1.022 ,0.955 ,0.897 ,
1.137 ,1.112 ,1.062 ,0.928 ,
1.380 ,1.209 ,1.120 ,1.029 ,
1.648 ,1.342 ,1.192 ,1.050 ,
1.993 ,1.463 ,1.247 ,1.065 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
1.093 ,1.012 ,0.945 ,0.887 ,
1.115 ,1.090 ,1.040 ,0.907 ,
1.325 ,1.160 ,1.072 ,0.981 ,
1.548 ,1.261 ,1.116 ,0.977 ,
1.826 ,1.346 ,1.141 ,0.964 ,
END,,,,
START,,,,
4,5,,,
0.2 ,0.4 ,0.6 ,1.0 ,
0.1,0.2,0.4,0.6,0.8
0.506 ,0.729 ,0.796 ,0.973 ,
