START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
1.053 ,0.939 ,0.659 ,
1.107 ,0.964 ,0.656 ,
1.562 ,1.183 ,0.697 ,
2.390 ,1.502 ,0.736 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.606 ,0.580 ,0.471 ,
0.658 ,0.596 ,0.459 ,
0.820 ,0.672 ,0.473 ,
1.122 ,0.795 ,0.495 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.443 ,0.434 ,0.387 ,
0.499 ,0.461 ,0.377 ,
0.584 ,0.500 ,0.384 ,
0.745 ,0.568 ,0.398 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.357 ,0.353 ,0.337 ,
0.413 ,0.387 ,0.327 ,
0.465 ,0.410 ,0.331 ,
0.568 ,0.455 ,0.342 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.516 ,0.673 ,0.716 ,
0.583 ,0.690 ,0.741 ,
0.748 ,0.864 ,0.819 ,
1.105 ,1.217 ,0.954 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.069 ,0.104 ,0.118 ,
0.076 ,0.113 ,0.130 ,
0.128 ,0.170 ,0.155 ,
0.230 ,0.277 ,0.192 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.017 ,0.032 ,0.041 ,
0.022 ,0.039 ,0.049 ,
0.047 ,0.068 ,0.061 ,
0.092 ,0.117 ,0.078 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.009 ,0.015 ,0.022 ,
0.010 ,0.019 ,0.026 ,
0.024 ,0.036 ,0.033 ,
0.049 ,0.064 ,0.041 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
1.053 ,0.939 ,0.659 ,
1.092 ,0.953 ,0.653 ,
1.508 ,1.139 ,0.687 ,
2.188 ,1.361 ,0.712 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.606 ,0.580 ,0.471 ,
0.652 ,0.591 ,0.457 ,
0.799 ,0.656 ,0.470 ,
1.047 ,0.746 ,0.487 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.443 ,0.434 ,0.387 ,
0.496 ,0.459 ,0.376 ,
0.571 ,0.491 ,0.382 ,
0.704 ,0.543 ,0.394 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.357 ,0.353 ,0.337 ,
0.411 ,0.386 ,0.327 ,
0.457 ,0.405 ,0.330 ,
0.541 ,0.439 ,0.340 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.516 ,0.673 ,0.716 ,
0.583 ,0.685 ,0.736 ,
0.768 ,0.856 ,0.807 ,
1.202 ,1.198 ,0.926 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.069 ,0.104 ,0.118 ,
0.076 ,0.111 ,0.129 ,
0.135 ,0.167 ,0.150 ,
0.264 ,0.269 ,0.182 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.017 ,0.032 ,0.041 ,
0.022 ,0.039 ,0.048 ,
0.051 ,0.066 ,0.059 ,
0.109 ,0.112 ,0.072 ,
END,,,
START,,,
3,4,,
0.2 ,0.4 ,1.0 ,
0,0.2,0.5,0.8
0.009 ,0.015 ,0.022 ,
0.010 ,0.019 ,0.025 ,
0.027 ,0.035 ,0.031 ,
0.059 ,0.061 ,0.038 ,
END,,,

,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
