START,,,,,,,,
9,7,,,,,,,
1,2,3,5,7,10,13,16,20
0.125,0.25,0.375,0.5,0.625,0.75,0.875,,
0.676,0.6,0.548,0.459,0.383,0.297,0.238,0.192,0.148
0.869,0.731,0.629,0.479,0.37,0.246,0.174,0.117,0.0593
0.963,0.797,0.68,0.527,0.418,0.307,0.232,0.174,0.105
1.02,0.767,0.621,0.453,0.324,0.202,0.128,0.0813,0.0298
1.05,0.786,0.649,0.494,0.357,0.235,0.173,0.105,0.0471
1.07,0.786,0.643,0.474,0.343,0.23,0.167,0.11,0.0442
1.086,0.928,0.81,0.65,0.538,0.423,0.332,0.242,0.205
END,,,,,,,,
START,,,,,,,,
9,7,,,,,,,
1,2,3,5,7,10,13,16,20
0.125,0.25,0.375,0.5,0.625,0.75,0.875,,
0.936,0.869,0.805,0.687,0.58,0.437,0.329,0.245,0.165
1.2,1.034,0.93,0.762,0.633,0.523,0.396,0.303,0.215
1.33,1.15,1.02,0.84,0.695,0.556,0.442,0.36,0.265
1.41,1.09,0.922,0.675,0.495,0.331,0.211,0.135,0.0741
1.46,1.07,0.896,0.631,0.436,0.255,0.142,0.084,0.0411
1.48,1.15,0.974,0.693,0.5,0.348,0.223,0.14,0.0745
1.5,1.35,1.2,1.02,0.855,0.69,0.551,0.44,0.321
END,,,,,,,,
