name,first_place_league,second_place_league,years_total_league,years_consecutive_league,first_place_cup,second_place_cup,first_place_supercup,second_place_supercup,first_place_europe_1,second_place_europe_1,first_place_europe_2,second_place_europe_2,first_place_europe_3,second_place_europe_3,first_place_europe_supercup,second_place_europe_supercup,years_total_europe,years_consecutive_europe,country
mainz_05,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,germany
hannover_96,2.0,0.0,29.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,germany
schalke_04,7.0,7.0,50.0,27.0,6.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,germany
rb_leipzig,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,germany
freiburg,0.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,germany
eintracht_frankfurt,1.0,1.0,49.0,6.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,germany
monchengladbach,5.0,2.0,50.0,10.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,germany
koln,3.0,7.0,47.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,1.0,germany
arsenal,13.0,9.0,101.0,92.0,15.0,12.0,14.0,7.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,30.0,21.0,england
leicester_city,1.0,1.0,50.0,4.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,england
watford,0.0,1.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,england
liverpool,18.0,13.0,103.0,56.0,15.0,12.0,15.0,6.0,5.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,42.0,1.0,england
everton,9.0,7.0,114.0,64.0,5.0,10.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,england
stoke_city,0.0,0.0,10.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,england
chelsea,6.0,5.0,83.0,29.0,12.0,7.0,4.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,23.0,1.0,england
burnley,2.0,2.0,55.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,england
crystal_palace,0.0,0.0,18.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,england
huddersfield_town,3.0,3.0,31.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,england
west_bromwich_albion,1.0,2.0,80.0,8.0,6.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,england
bournemouth,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,england
southampton,0.0,1.0,41.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,england
swansea_city,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,england
brighton_&_hove_albion,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,england
manchester_city,5.0,5.0,89.0,16.0,9.0,6.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,england
newcastle_united,4.0,2.0,87.0,5.0,6.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,0.0,england
tottenham_hotspur,2.0,5.0,84.0,40.0,12.0,5.0,7.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,8.0,england
manchester_united,20.0,16.0,92.0,43.0,17.0,11.0,21.0,9.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,40.0,2.0,england
west_ham_united,0.0,0.0,60.0,6.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,england
leganes,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spain
alaves,0.0,0.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,spain
valencia,6.0,6.0,83.0,31.0,7.0,10.0,1.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,29.0,0.0,spain
las_palmas,0.0,1.0,34.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,spain
celta_vigo,0.0,0.0,52.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,spain
real_sociedad,2.0,3.0,71.0,8.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,spain
girona,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spain
atletico_madrid,10.0,9.0,81.0,16.0,10.0,9.0,2.0,4.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,40.0,11.0,spain
sevilla,1.0,4.0,74.0,17.0,5.0,3.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,22.0,5.0,spain
espanyol,0.0,0.0,82.0,24.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,spain
athletic_club,8.0,7.0,87.0,87.0,23.0,14.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,4.0,spain
getafe,0.0,0.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,spain
barcelona,25.0,24.0,87.0,87.0,28.0,10.0,11.0,9.0,5.0,3.0,4.0,2.0,0.0,0.0,5.0,4.0,58.0,58.0,spain
real_betis,1.0,0.0,52.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,spain
deportivo_la_coruna,1.0,5.0,46.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,spain
real_madrid,32.0,23.0,87.0,87.0,19.0,20.0,9.0,5.0,13.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,61.0,21.0,spain
levante,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,spain
villarreal,0.0,1.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,14.0,4.0,spain
malaga,0.0,0.0,37.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,7.0,0.0,spain
eibar,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spain
juventus,34.0,21.0,85.0,11.0,11.0,5.0,7.0,4.0,2.0,6.0,4.0,1.0,1.0,0.0,2.0,0.0,50.0,6.0,italy
cagliari,1.0,1.0,36.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,italy
hellas_verona,1.0,0.0,25.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,italy
napoli,2.0,7.0,74.0,11.0,5.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,italy
atalanta,0.0,0.0,57.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,italy
roma,3.0,14.0,85.0,56.0,9.0,8.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,4.0,italy
udinese,0.0,1.0,41.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,italy
chievo,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,italy
internazionale,18.0,14.0,86.0,86.0,7.0,6.0,5.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,45.0,0.0,italy
fiorentina,2.0,5.0,80.0,14.0,6.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,italy
sassuolo,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,italy
genoa,9.0,4.0,73.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,italy
lazio,2.0,6.0,74.0,30.0,6.0,3.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,20.0,1.0,italy
spal,0.0,0.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,italy
sampdoria,1.0,0.0,61.0,6.0,4.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,italy
benevento,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,italy
bologna,7.0,4.0,72.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,italy
torino,7.0,7.0,74.0,6.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,italy
crotone,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,italy
milan,18.0,14.0,83.0,35.0,5.0,8.0,7.0,3.0,7.0,4.0,2.0,1.0,0.0,0.0,5.0,2.0,40.0,1.0,italy
benfica,36.0,27.0,84.0,84.0,33.0,10.0,7.0,12.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,57.0,15.0,portugal
cska_moscow,13.0,11.0,74.0,26.0,12.0,7.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,16.0,russia
basel,20.0,6.0,111.0,23.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,19.0,switzerland
qarabag,5.0,3.0,26.0,26.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,azerbaijan
celtic,48.0,31.0,128.0,128.0,37.0,18.0,16.0,15.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,53.0,18.0,scotland
anderlecht,34.0,21.0,88.0,81.0,12.0,6.0,12.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,59.0,55.0,belgium
olympiacos,44.0,17.0,82.0,58.0,27.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,21.0,greece
sporting_cp,18.0,20.0,84.0,84.0,16.0,13.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,53.0,4.0,portugal
porto,27.0,28.0,83.0,41.0,16.0,16.0,20.0,9.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,41.0,21.0,portugal
besiktas,20.0,14.0,59.0,59.0,9.0,6.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,turkey
nk_maribor,14.0,5.0,32.0,27.0,22.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,9.0,slovenia
spartak_moscow,22.0,17.0,79.0,26.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,russia
feyenoord,15.0,16.0,96.0,96.0,12.0,4.0,3.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,netherlands
apoel_fc,26.0,20.0,77.0,44.0,21.0,10.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,17.0,cyprus
shakhtar_donetsk,10.0,14.0,71.0,27.0,15.0,10.0,9.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26.0,21.0,ukraine
austria_wien,24.0,20.0,106.0,106.0,27.0,11.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,2.0,austria
slavia_prague,18.0,20.0,93.0,25.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,czech_republic
maccabi_tel_aviv_fc,22.0,11.0,66.0,66.0,28.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,israel
braga,0.0,1.0,61.0,42.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,3.0,portugal
rijeka,1.0,5.0,56.0,44.0,6.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,croatia
aek_athens,11.0,18.0,57.0,3.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,greece
fc_copenhagen,12.0,6.0,26.0,26.0,9.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,17.0,denmark
lokomotiv_moscow,2.0,5.0,64.0,26.0,9.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,russia
fastav_zlin,0.0,1.0,26.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,czech_republic
fc_sheriff_tiraspol,15.0,2.0,20.0,20.0,9.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,moldova
fc_astana,3.0,2.0,9.0,9.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,kazakhstan
young_boys,11.0,19.0,112.0,17.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,switzerland
partizan,27.0,17.0,72.0,72.0,14.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,22.0,serbia
apollon_limassol,3.0,4.0,61.0,61.0,9.0,7.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,cyprus
dynamo_kyiv,28.0,20.0,81.0,81.0,20.0,5.0,9.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,48.0,28.0,ukraine
skenderbeu_korce,7.0,3.0,63.0,9.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,albania
istanbul_basaksehir,0.0,1.0,10.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,turkey
ludogorets_razgrad,6.0,0.0,7.0,7.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,bulgaria
vitoria_guimaraes,0.0,0.0,75.0,11.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,portugal
red_bull_salzburg,11.0,7.0,56.0,31.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,12.0,austria
zulte_waregem,0.0,1.0,13.0,13.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,belgium
konyaspor,0.0,0.0,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,turkey
vitesse,0.0,5.0,30.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,netherlands
rosenborg,24.0,7.0,50.0,39.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,11.0,norway
red_star,27.0,24.0,72.0,72.0,24.0,12.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.0,3.0,serbia
bate_borisov,13.0,4.0,20.0,20.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,belarus
fk_vardar,10.0,2.0,59.0,27.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,north_macedonia
zenit,5.0,3.0,72.0,22.0,5.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,20.0,11.0,russia
hapoel_be_er_sheva_fc,4.0,1.0,45.0,9.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,israel
lugano,3.0,5.0,68.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,switzerland
fcsb,26.0,15.0,70.0,70.0,26.0,8.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,15.0,romania
viktoria_plzen,4.0,2.0,53.0,13.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,czech_republic
zorya_luhansk,1.0,0.0,31.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,ukraine
ostersund,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,sweden
