name,first_place_league,second_place_league,years_total_league,years_consecutive_league,first_place_cup,second_place_cup,first_place_supercup,second_place_supercup,first_place_europe_1,second_place_europe_1,first_place_europe_2,second_place_europe_2,first_place_europe_3,second_place_europe_3,first_place_europe_supercup,second_place_europe_supercup,years_total_europe,years_consecutive_europe,country
monaco,8.0,7.0,59.0,5.0,9.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,4.0,france
toulouse,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,france
paris_saint_germain,7.0,8.0,38.0,44.0,18.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0,8.0,france
amiens,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,france
montpellier,1.0,0.0,40.0,9.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,france
caen,0.0,0.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,france
troyes,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,france
rennes,0.0,0.0,62.0,23.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,france
saint_etienne,10.0,3.0,65.0,14.0,7.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,france
nice,4.0,3.0,65.0,16.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,france
lyon,7.0,5.0,59.0,29.0,6.0,7.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,21.0,france
strasbourg,1.0,1.0,61.0,6.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,france
metz,0.0,1.0,63.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,france
guingamp,0.0,0.0,12.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,france
lille,3.0,5.0,59.0,18.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,france
nantes,8.0,7.0,51.0,5.0,4.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,france
angers,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,france
bordeaux,6.0,9.0,65.0,26.0,7.0,9.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,33.0,1.0,france
marseille,9.0,11.0,68.0,22.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,27.0,1.0,france
dijon,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,france
bayern_munich,27.0,10.0,53.0,53.0,24.0,4.0,6.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,3.0,48.0,45.0,germany
leverkusen,0.0,5.0,39.0,39.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,germany
wolfsburg,1.0,1.0,1.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,germany
dortmund,8.0,7.0,53.0,53.0,4.0,6.0,5.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,31.0,8.0,germany
hertha_bsc,2.0,4.0,34.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,2.0,germany
stuttgart,5.0,4.0,52.0,39.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,29.0,2.0,germany
hoffenheim,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,germany
werder_bremen,4.0,7.0,54.0,37.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,26.0,7.0,germany
hamburger_sv,6.0,8.0,55.0,55.0,5.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,31.0,7.0,germany
augsburg,0.0,0.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,germany
