START,,,,,,,,
9,7,,,,,,,
1,2,3,5,7,10,13,16,20
0.125,0.25,0.375,0.5,0.625,0.75,0.875,,
2.80 ,3.57 ,4.01 ,4.47 ,4.65 ,4.62 ,4.41 ,4.13 ,3.72 
2.54 ,2.97 ,3.14 ,3.20 ,3.11 ,2.86 ,2.65 ,2.47 ,2.20 
2.34 ,2.53 ,2.52 ,2.35 ,2.17 ,1.95 ,1.77 ,1.61 ,1.43 
2.21 ,2.20 ,2.06 ,1.81 ,1.63 ,1.43 ,1.30 ,1.17 ,1.00 
2.12 ,1.91 ,1.69 ,1.41 ,1.22 ,1.01 ,0.853 ,0.712 ,0.573 
2.07 ,1.71 ,1.46 ,1.21 ,1.08 ,0.867 ,0.745 ,0.646 ,0.532 
2.08 ,1.57 ,1.31 ,1.08 ,0.972 ,0.862 ,0.778 ,0.715 ,0.630 
END,,,,,,,,
START,,,,,,,,
9,7,,,,,,,
1,2,3,5,7,10,13,16,20
0.125,0.25,0.375,0.5,0.625,0.75,0.875,,
2.80 ,3.61 ,4.06 ,4.35 ,4.33 ,4.02 ,3.56 ,3.06 ,2.46 
2.54 ,3.01 ,3.21 ,3.29 ,3.18 ,2.92 ,2.63 ,2.34 ,2.03 
2.34 ,2.62 ,2.65 ,2.51 ,2.28 ,1.97 ,1.71 ,1.46 ,1.19 
2.21 ,2.29 ,2.20 ,1.97 ,1.76 ,1.52 ,1.32 ,1.16 ,0.978 
2.12 ,1.96 ,1.76 ,1.43 ,1.17 ,0.863 ,0.628 ,0.458 ,0.300 
2.07 ,1.73 ,1.47 ,1.11 ,0.895 ,0.642 ,0.461 ,0.337 ,0.216 
2.08 ,1.64 ,1.40 ,1.14 ,0.987 ,0.814 ,0.688 ,0.573 ,0.461 
END,,,,,,,,
