START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
1.053,0.939,0.659,
1.045,0.919,0.643,
1.338,1.037,0.663,
1.865,1.255,0.704,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.606,0.58,0.471,
0.634,0.579,0.454,
0.739,0.622,0.463,
0.948,0.72,0.489,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.443,0.434,0.387,
0.487,0.452,0.375,
0.54,0.474,0.378,
0.659,0.534,0.397,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.357,0.353,0.337,
0.406,0.382,0.326,
0.438,0.395,0.328,
0.516,0.443,0.342,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.516,0.673,0.716,
0.577,0.67,0.719,
0.759,0.803,0.759,
1.144,1.06,0.867,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.069,0.104,0.118,
0.075,0.107,0.124,
0.134,0.151,0.136,
0.25,0.229,0.158,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.017,0.032,0.041,
0.022,0.037,0.046,
0.051,0.059,0.052,
0.103,0.095,0.062,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.009,0.016,0.022,
0.01,0.018,0.024,
0.027,0.031,0.027,
0.056,0.051,0.032,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
1.053,0.939,0.659,
1.062,0.932,0.647,
1.359,1.058,0.669,
1.783,1.211,0.694,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.606,0.58,0.471,
0.641,0.584,0.456,
0.746,0.629,0.464,
0.914,0.701,0.484,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.443,0.434,0.387,
0.489,0.455,0.375,
0.544,0.477,0.38,
0.639,0.523,0.394,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.357,0.353,0.337,
0.417,0.383,0.326,
0.44,0.397,0.328,
0.504,0.429,0.339,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.516,0.673,0.716,
0.578,0.676,0.726,
0.753,0.814,0.777,
1.123,1.06,0.859,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.069,0.104,0.118,
0.075,0.109,0.126,
0.131,0.153,0.141,
0.241,0.225,0.163,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.017,0.032,0.041,
0.022,0.037,0.047,
0.05,0.06,0.054,
0.099,0.092,0.063,
END,,,
START,,,
3,4,,
0.2,0.4,1,
0,0.2,0.5,0.8
0.009,0.015,0.022,
0.01,0.018,0.24,
0.026,0.031,0.028,
0.053,0.049,0.033,
END,,,
