GDP,UnemploymentRate,Investment,Climate C02
1868945197407,5.32,13195000000,0.9325481
2131571696932,6.32,14043000000,0.8928174
2071323790370,7.68,13512000000,0.887057
2205074123177,8.73,12183000000,0.8758971
2585792275147,8.16,12108127255,0.8746594
2497244606187,8.82,11702251360,0.9043374
2211989623280,9.86,10215185235,0.8726465
2238990774703,9.79,11783516677,0.8652537
2194945278873,8.85,13072010866,0.8335949
1947981991012,7.92,-38207458288,0.8302841
1945790973803,7.77,12874180383,0.8476782
2078484517475,8.48,12445656180,0.8333822
2501640388482,9.78,13844938950,0.8367945
2814353869359,10.73,12665830698,0.8210736
2846864211175,11.17,14540837342,0.8023832
2994703642024,10.25,15442948742,0.8144131
3425578382922,8.66,13445249551,0.783803
3745264093617,7.52,15053739304,0.7896904
3411261212652,7.74,18204614814,0.7348055
3399667820000,6.97,13843538540,0.7730691
3749314991051,5.82,19291685326,0.7464773
3527143188785,5.38,20380362261,0.7601277
3733804649549,5.23,18699902783,0.7761518
3889093051023,4.98,17566698797,0.7360117
3357585719352,4.62,19268940694,0.7423144
3469853463946,4.12,20594050556,0.7471472
3690849152518,3.75,,0.7322042
3974443355020,3.38,,0.7077702
3888226035921,3.14,,0.6586935
3889668895300,3.86,,0.6033505
4259934911822,3.57,,
4072191736090,2.989,,
