START,,,,,,,
8,6,,,,,,
1,2,5,10,20,40,80,1000
0.0 ,0.1 ,0.2 ,0.4 ,0.6 ,0.8 ,,
0.657 ,0.657 ,0.657 ,0.657 ,0.657 ,0.657 ,0.657 ,0.657 
0.661 ,0.659 ,0.658 ,0.657 ,0.657 ,0.657 ,0.657 ,0.657 
0.667 ,0.664 ,0.662 ,0.661 ,0.661 ,0.660 ,0.660 ,0.660 
0.685 ,0.681 ,0.677 ,0.676 ,0.675 ,0.675 ,0.674 ,0.675 
0.723 ,0.707 ,0.697 ,0.693 ,0.691 ,0.690 ,0.688 ,0.691 
0.831 ,0.769 ,0.727 ,0.712 ,0.703 ,0.699 ,0.696 ,0.697 
END,,,,,,,
START,,,,,,,
8,6,,,,,,
1,2,5,10,20,40,80,1000
0.0 ,0.1 ,0.2 ,0.4 ,0.6 ,0.8 ,,
0.465 ,0.465 ,0.465 ,0.465 ,0.465 ,0.465 ,0.465 ,0.465 
0.468 ,0.466 ,0.464 ,0.464 ,0.463 ,0.463 ,0.463 ,0.463 
0.473 ,0.469 ,0.466 ,0.465 ,0.465 ,0.464 ,0.464 ,0.464 
0.485 ,0.478 ,0.472 ,0.470 ,0.469 ,0.469 ,0.468 ,0.469 
0.505 ,0.492 ,0.482 ,0.479 ,0.477 ,0.476 ,0.475 ,0.475 
0.565 ,0.530 ,0.507 ,0.498 ,0.493 ,0.490 ,0.488 ,0.489 
END,,,,,,,
START,,,,,,,
8,6,,,,,,
1,2,5,10,20,40,80,1000
0.0 ,0.1 ,0.2 ,0.4 ,0.6 ,0.8 ,,
0.385 ,0.385 ,0.385 ,0.385 ,0.385 ,0.385 ,0.385 ,0.385 
0.387 ,0.385 ,0.383 ,0.383 ,0.383 ,0.383 ,0.382 ,0.382 
0.391 ,0.387 ,0.385 ,0.384 ,0.383 ,0.383 ,0.383 ,0.383 
0.399 ,0.393 ,0.388 ,0.387 ,0.386 ,0.385 ,0.385 ,0.385 
0.413 ,0.403 ,0.395 ,0.392 ,0.390 ,0.390 ,0.389 ,0.389 
0.453 ,0.430 ,0.413 ,0.407 ,0.403 ,0.402 ,0.400 ,0.400 
END,,,,,,,
START,,,,,,,
8,6,,,,,,
1,2,5,10,20,40,80,1000
0.0 ,0.1 ,0.2 ,0.4 ,0.6 ,0.8 ,,
