START,,,,,,,,,,
5,11,,,,,,,,,
1,2,3,4,5,,,,,,
0.005,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.38,0.4,0.425
2.0000 ,0.9579 ,1.1707 ,-0.3703 ,-0.0857 ,,,,,,
2.0000 ,0.8578 ,1.4479 ,-0.6737 ,0.0177 ,,,,,,
2.0000 ,0.8766 ,1.3433 ,-0.6422 ,0.0138 ,,,,,,
2.0000 ,0.9507 ,1.1179 ,-0.3881 ,-0.0738 ,,,,,,
2.0000 ,1.0999 ,1.0233 ,-0.3334 ,-0.0849 ,,,,,,
2.0000 ,1.4541 ,0.9893 ,-0.6509 ,0.0643 ,,,,,,
2.0000 ,2.1729 ,0.5304 ,-0.7089 ,0.1490 ,,,,,,
2.0000 ,3.4470 ,-1.0795 ,0.7388 ,-0.2970 ,,,,,,
2.0000 ,4.4560 ,-2.5567 ,2.2525 ,-0.7903 ,,,,,,
2.0000 ,5.9957 ,-4.7656 ,4.2515 ,-1.4137 ,,,,,,
2.0000 ,8.6865 ,-8.7193 ,7.2679 ,-2.2907 ,,,,,,
END,,,,,,,,,,
