START,,,,,,,,,,,,,,,,,,,
20,16,,,,,,,,,,,,,,,,,,
0.05 ,0.10 ,0.15 ,0.20 ,0.25 ,0.30 ,0.35 ,0.40 ,0.45 ,0.50 ,0.55 ,0.60 ,0.65 ,0.70 ,0.75 ,0.80 ,0.85 ,0.90 ,0.95 ,1.00 
0.100 ,0.125 ,0.150 ,0.200 ,0.250 ,0.300 ,0.350 ,0.400 ,0.450 ,0.500 ,0.550 ,0.600 ,0.650 ,0.700 ,0.750 ,0.800 ,,,,
0.375 ,0.380 ,0.384 ,0.388 ,0.391 ,0.394 ,0.397 ,0.400 ,0.402 ,0.404 ,0.404 ,0.405 ,0.405 ,0.406 ,0.406 ,0.406 ,0.407 ,0.407 ,0.407 ,0.408 
0.476 ,0.485 ,0.493 ,0.499 ,0.505 ,0.511 ,0.516 ,0.521 ,0.526 ,0.528 ,0.529 ,0.530 ,0.530 ,0.531 ,0.531 ,0.531 ,0.532 ,0.532 ,0.532 ,0.532 
0.581 ,0.596 ,0.608 ,0.619 ,0.629 ,0.638 ,0.646 ,0.654 ,0.662 ,0.665 ,0.666 ,0.667 ,0.667 ,0.668 ,0.668 ,0.668 ,0.669 ,0.669 ,0.669 ,0.670 
0.804 ,0.836 ,0.862 ,0.886 ,0.908 ,0.928 ,0.946 ,0.964 ,0.981 ,0.988 ,0.989 ,0.990 ,0.991 ,0.992 ,0.992 ,0.993 ,0.993 ,0.994 ,0.995 ,0.996 
1.047 ,1.105 ,1.155 ,1.199 ,1.238 ,1.275 ,1.309 ,1.341 ,1.372 ,1.380 ,1.385 ,1.390 ,1.395 ,1.396 ,1.397 ,1.397 ,1.398 ,1.398 ,1.399 ,1.400 
1.313 ,1.410 ,1.492 ,1.565 ,1.631 ,1.691 ,1.748 ,1.800 ,1.850 ,1.880 ,1.885 ,1.890 ,1.891 ,1.892 ,1.892 ,1.893 ,1.893 ,1.894 ,1.895 ,1.896 
1.605 ,1.755 ,1.881 ,1.993 ,2.095 ,2.188 ,2.274 ,2.355 ,2.430 ,2.480 ,2.485 ,2.490 ,2.492 ,2.494 ,2.506 ,2.507 ,2.507 ,2.508 ,2.509 ,2.510 
1.927 ,2.146 ,2.331 ,2.494 ,2.642 ,2.777 ,2.902 ,3.018 ,3.126 ,3.220 ,3.220 ,3.221 ,3.221 ,3.222 ,3.222 ,3.223 ,3.224 ,3.225 ,3.226 ,3.227 
2.281 ,2.588 ,2.848 ,3.077 ,3.284 ,3.472 ,3.646 ,3.807 ,3.955 ,4.088 ,4.089 ,4.090 ,4.090 ,4.091 ,4.091 ,4.091 ,4.092 ,4.092 ,4.092 ,4.093 
2.672 ,3.089 ,3.441 ,3.751 ,4.031 ,4.286 ,4.519 ,4.734 ,4.932 ,5.110 ,5.110 ,5.111 ,5.111 ,5.112 ,5.112 ,5.113 ,5.113 ,5.113 ,5.114 ,5.114 
3.104 ,3.654 ,4.119 ,4.529 ,4.898 ,5.232 ,5.537 ,5.816 ,6.072 ,6.300 ,6.301 ,6.301 ,6.302 ,6.302 ,6.302 ,6.303 ,6.303 ,6.304 ,6.304 ,6.305 
3.579 ,4.290 ,4.891 ,5.421 ,5.896 ,6.325 ,6.714 ,7.068 ,7.390 ,7.678 ,7.679 ,7.680 ,7.680 ,7.681 ,7.681 ,7.682 ,7.682 ,7.682 ,7.683 ,7.683 
4.102 ,5.004 ,5.767 ,6.439 ,7.038 ,7.578 ,8.065 ,8.505 ,8.903 ,9.230 ,9.235 ,9.240 ,9.245 ,9.250 ,9.252 ,9.254 ,9.560 ,9.258 ,9.259 ,9.260 
4.677 ,5.803 ,6.757 ,7.594 ,8.339 ,9.007 ,9.606 ,10.143 ,10.624 ,10.990 ,11.000 ,11.010 ,11.020 ,11.030 ,11.030 ,11.035 ,11.040 ,11.045 ,11.050 ,11.053 
5.308 ,6.696 ,7.871 ,8.900 ,9.813 ,10.626 ,11.351 ,11.997 ,12.569 ,13.050 ,13.055 ,13.060 ,13.065 ,13.068 ,13.070 ,13.071 ,13.072 ,13.072 ,13.073 ,13.074 
6.000 ,7.690 ,9.120 ,10.370 ,11.473 ,12.451 ,13.316 ,14.081 ,14.752 ,15.230 ,15.240 ,15.250 ,15.260 ,15.270 ,15.280 ,15.290 ,15.300 ,15.310 ,15.323 ,15.336 
END,,,,,,,,,,,,,,,,,,,
START,,,,,,,,,,,,,,,,,,,
20,16,,,,,,,,,,,,,,,,,,
0.05 ,0.10 ,0.15 ,0.20 ,0.25 ,0.30 ,0.35 ,0.40 ,0.45 ,0.50 ,0.55 ,0.60 ,0.65 ,0.70 ,0.75 ,0.80 ,0.85 ,0.90 ,0.95 ,1.00 
0.100 ,0.125 ,0.150 ,0.200 ,0.250 ,0.300 ,0.350 ,0.400 ,0.450 ,0.500 ,0.550 ,0.600 ,0.650 ,0.700 ,0.750 ,0.800 ,,,,
0.377 ,0.391 ,0.455 ,0.488 ,0.509 ,0.518 ,0.525 ,0.530 ,0.530 ,0.530 ,0.530 ,0.525 ,0.513 ,0.500 ,0.500 ,0.475 ,0.463 ,0.450 ,0.425 ,0.417 
0.477 ,0.500 ,0.557 ,0.574 ,0.600 ,0.650 ,0.690 ,0.700 ,0.700 ,0.700 ,0.700 ,0.700 ,0.700 ,0.680 ,0.650 ,0.620 ,0.600 ,0.560 ,0.551 ,0.542 
0.586 ,0.607 ,0.679 ,0.724 ,0.760 ,0.810 ,0.850 ,0.860 ,0.870 ,0.870 ,0.870 ,0.870 ,0.850 ,0.830 ,0.800 ,0.770 ,0.740 ,0.700 ,0.687 ,0.673 
0.816 ,0.892 ,1.025 ,1.125 ,1.188 ,1.238 ,1.250 ,1.288 ,1.300 ,1.313 ,1.310 ,1.300 ,1.288 ,1.263 ,1.240 ,1.200 ,1.153 ,1.125 ,1.075 ,1.026 
1.060 ,1.200 ,1.375 ,1.500 ,1.560 ,1.650 ,1.680 ,1.700 ,1.720 ,1.735 ,1.750 ,1.750 ,1.750 ,1.710 ,1.680 ,1.640 ,1.600 ,1.563 ,1.527 ,1.490 
1.322 ,1.620 ,1.850 ,2.000 ,2.125 ,2.175 ,2.200 ,2.230 ,2.240 ,2.250 ,2.240 ,2.225 ,2.210 ,2.200 ,2.180 ,2.150 ,2.125 ,2.100 ,2.060 ,2.045 
1.704 ,2.250 ,2.500 ,2.700 ,3.000 ,3.000 ,3.100 ,3.100 ,3.180 ,3.175 ,3.213 ,3.250 ,3.200 ,3.200 ,3.100 ,3.100 ,2.900 ,2.900 ,2.900 ,2.853 
2.000 ,2.890 ,3.400 ,3.750 ,4.000 ,4.150 ,4.250 ,4.380 ,4.450 ,4.500 ,4.500 ,4.500 ,4.500 ,4.450 ,4.400 ,4.350 ,4.280 ,4.190 ,4.100 ,4.041 
2.500 ,3.600 ,4.250 ,4.500 ,5.100 ,5.400 ,5.600 ,5.640 ,5.790 ,5.820 ,5.880 ,5.900 ,5.900 ,5.900 ,5.820 ,5.800 ,5.750 ,5.680 ,5.600 ,5.364 
3.000 ,4.504 ,5.500 ,6.200 ,6.720 ,7.000 ,7.180 ,7.300 ,7.400 ,7.514 ,7.520 ,7.520 ,7.520 ,7.520 ,7.400 ,7.350 ,7.290 ,7.200 ,7.150 ,7.142 
3.550 ,5.500 ,6.900 ,8.000 ,8.800 ,9.250 ,9.600 ,9.800 ,10.000 ,10.150 ,10.200 ,10.200 ,10.200 ,10.200 ,10.150 ,10.000 ,9.900 ,9.800 ,9.600 ,9.216 
4.184 ,6.467 ,8.500 ,10.000 ,11.125 ,11.500 ,12.000 ,12.500 ,12.700 ,12.750 ,12.800 ,12.900 ,12.800 ,12.750 ,12.600 ,12.500 ,12.400 ,12.250 ,12.000 ,11.938 
4.800 ,7.500 ,10.000 ,12.400 ,14.000 ,15.600 ,16.600 ,17.500 ,17.800 ,18.000 ,18.000 ,18.000 ,17.800 ,17.600 ,17.400 ,17.100 ,16.800 ,16.200 ,16.000 ,15.412 
5.508 ,8.727 ,12.000 ,15.500 ,18.000 ,19.750 ,21.000 ,21.750 ,22.250 ,22.500 ,22.500 ,22.500 ,22.500 ,22.250 ,22.000 ,21.750 ,21.250 ,20.900 ,20.400 ,20.074 
