START,,,,
5,5,,,
0.2,0.4,0.6,1,2
0.1,0.2,0.4,0.6,0.8
1.119,1.087,1.069,1.039,1.02
1.162,1.119,1.09,1.047,1.012
1.371,1.216,1.143,1.083,1.007
1.651,1.327,1.206,1.106,1.03
1.787,1.379,1.228,1.107,1.016
END,,,,
START,,,,
5,5,,,
0.2,0.4,0.6,1,2
0.1,0.2,0.4,0.6,0.8
0.476,0.418,0.371,0.299,0.197
0.49,0.435,0.383,0.304,0.196
0.61,0.49,0.418,0.33,0.196
0.795,0.563,0.457,0.342,0.203
0.863,0.576,0.449,0.327,0.185
END,,,,
START,,,,
5,5,,,
0.2,0.4,0.6,1,2
0.1,0.2,0.4,0.6,0.8
0.3,0.252,0.216,0.166,0.099
0.309,0.264,0.225,0.17,0.092
0.4,0.31,0.257,0.189,0.097
0.539,0.369,0.288,0.2,0.097
0.584,0.373,0.277,0.183,0.082
END,,,,
START,,,,
5,5,,,
0.2,0.4,0.6,1,2
0.1,0.2,0.4,0.6,0.8
0.219,0.179,0.151,0.114,0.066
0.226,0.188,0.158,0.117,0.06
0.3,0.229,0.187,0.134,0.065
0.412,0.277,0.143,0.143,0.064
0.445,0.278,0.127,0.127,0.05
END,,,,
START,,,,
5,5,,,
0.2,0.4,0.6,1,2
0.1,0.2,0.4,0.6,0.8
0.512,0.794,0.933,1.133,1.528
0.582,0.81,0.954,1.145,1.548
0.688,0.911,1.025,1.22,1.538
0.882,1.06,1.192,1.318,1.631
1.201,1.32,1.366,1.441,1.667
END,,,,
START,,,,
5,5,,,
0.2,0.4,0.6,1,2
0.1,0.2,0.4,0.6,0.8
0.444,0.666,0.779,0.951,1.319
0.502,0.678,0.795,0.96,1.331
0.578,0.75,0.84,1.01,1.317
0.718,0.85,0.96,1.08,1.39
0.945,1.039,1.091,1.174,1.42
END,,,,
START,,,,
5,5,,,
0.2,0.4,0.6,1,2
0.1,0.2,0.4,0.6,0.8
0.395,0.581,0.678,0.836,1.182
0.447,0.593,0.692,0.842,1.185
0.509,0.65,0.727,0.879,1.171
0.62,0.726,0.823,0.934,1.232
0.796,0.874,0.927,1.011,1.256
END,,,,
START,,,,
5,5,,,
0.2,0.4,0.6,1,2
0.1,0.2,0.4,0.6,0.8
0.358,0.519,0.605,0.751,1.081
0.405,0.531,0.618,0.756,1.076
0.459,0.579,0.647,0.785,1.062
0.553,0.641,0.727,0.832,1.005
0.695,0.763,0.814,0.896,1.135
END,,,,
