START,,
2,3,
0.2 ,0.4 ,
0.2,0.5,0.8
1.565 ,1.533 ,
1.905 ,1.648 ,
2.328 ,1.884 ,
END,,
START,,
2,3,
0.2 ,0.4 ,
0.2,0.5,0.8
2.830 ,2.754 ,
2.470 ,2.021 ,
1.942 ,1.245 ,
END,,
START,,
2,3,
0.2 ,0.4 ,
0.2,0.5,0.8
1.524 ,1.502 ,
1.857 ,1.561 ,
2.279 ,1.674 ,
END,,
START,,
2,3,
0.2 ,0.4 ,
0.2,0.5,0.8
5.261 ,5.040 ,
4.602 ,3.612 ,
3.422 ,1.818 ,
END,,
START,,
2,3,
0.2 ,0.4 ,
0.2,0.5,0.8
1.535 ,1.505 ,
1.905 ,1.627 ,
2.452 ,1.889 ,
END,,
START,,
2,3,
0.2 ,0.4 ,
0.2,0.5,0.8
2.058 ,2.000 ,
1.177 ,1.420 ,
1.416 ,0.800 ,
END,,
START,,
2,3,
0.2 ,0.4 ,
0.2,0.5,0.8
1.431 ,1.413 ,
1.776 ,1.490 ,
2.239 ,1.628 ,
END,,
START,,
2,3,
0.2 ,0.4 ,
0.2,0.5,0.8
3.744 ,3.577 ,
3.185 ,2.468 ,
2.024 ,1.066 ,
END,,
