item_id	item_flavor	item_ref_type	item_ref_value	item_name	citation_doi	citation_pmid	citation_arxiv	citation_url	citation_title	citation_authors	citation_year	citation_journal	citation_relationship	citation_type	citation_source	discovered_date	citation_status	citation_merged_into	citation_comment	curated_by	curated_date	oa_status	pdf_url	pdf_path
dandi:000363	0.230822.0128	doi	10.48324/dandi.000363/0.230822.0128	Mesoscale Activity Project	10.1038/s41593-025-02114-x				Brain-wide analysis reveals movement encoding structured across and within brain areas	Ziyue Aiden Wang; Balint Kurgyis; Susu Chen; Byungwoo Kang; Feng Chen; Yi Liu; Dave Liu; Karel Svoboda; Nuo Li; Shaul Druckmann	2025	Nature Neuroscience	Cites		crossref		active
dandi:000458	0.230317.0039	doi	10.48324/dandi.000458/0.230317.0039	Cortical-Thalamic Neural Dynamics	10.1088/1741-2552/ae0966				Statistical characterization of cortical–thalamic dynamics evoked by cortical stimulation in mice	Diana Nigrisoli; Simone Russo; Ruggero Freddi; Nicolas Seseri; Stefania Corti; Linda Ottoboni; Riccardo Barbieri	2025	Journal of Neural Engineering	Cites		crossref		active
dandi:000458	0.230317.0039	doi	10.48324/dandi.000458/0.230317.0039	Cortical-Thalamic Neural Dynamics	10.1101/2025.04.04.647222				Statistical Characterization of Cortical-Thalamic Dynamics Evoked by Cortical Stimulation in Mice	Diana Nigrisoli; Simone Russo; Ruggero Freddi; Nicolas Seseri; Stefania Corti; Linda Ottoboni; Riccardo Barbieri	2025		Cites		crossref		active
