START,,,,,,,,,,,,,,,,,,,,
4,21,,,,,,,,,,,,,,,,,,,
2,5,7,10,,,,,,,,,,,,,,,,,
0.000 ,0.050 ,0.100 ,0.150 ,0.200 ,0.250 ,0.300 ,0.350 ,0.400 ,0.450 ,0.500 ,0.550 ,0.600 ,0.650 ,0.700 ,0.750 ,0.800 ,0.850 ,0.900 ,0.950 ,1.000 
3.967 ,5.567 ,6.104 ,6.510 ,,,,,,,,,,,,,,,,,
4.313 ,6.500 ,6.500 ,7.969 ,,,,,,,,,,,,,,,,,
4.736 ,7.375 ,7.080 ,9.721 ,,,,,,,,,,,,,,,,,
5.125 ,8.250 ,7.875 ,11.250 ,,,,,,,,,,,,,,,,,
5.614 ,9.080 ,8.787 ,12.937 ,,,,,,,,,,,,,,,,,
6.000 ,9.750 ,9.875 ,14.250 ,,,,,,,,,,,,,,,,,
6.438 ,10.501 ,11.078 ,15.463 ,,,,,,,,,,,,,,,,,
6.789 ,11.000 ,12.125 ,16.375 ,,,,,,,,,,,,,,,,,
7.140 ,11.457 ,13.188 ,17.063 ,,,,,,,,,,,,,,,,,
7.500 ,11.875 ,14.000 ,17.500 ,,,,,,,,,,,,,,,,,
7.901 ,12.150 ,14.610 ,17.839 ,,,,,,,,,,,,,,,,,
8.094 ,12.313 ,15.000 ,17.550 ,,,,,,,,,,,,,,,,,
8.287 ,12.236 ,15.130 ,17.241 ,,,,,,,,,,,,,,,,,
8.344 ,11.938 ,14.875 ,16.375 ,,,,,,,,,,,,,,,,,
8.257 ,11.642 ,14.408 ,15.500 ,,,,,,,,,,,,,,,,,
8.125 ,11.125 ,13.625 ,14.500 ,,,,,,,,,,,,,,,,,
7.811 ,10.617 ,12.729 ,13.366 ,,,,,,,,,,,,,,,,,
7.500 ,9.875 ,11.688 ,12.125 ,,,,,,,,,,,,,,,,,
7.063 ,9.190 ,10.447 ,10.738 ,,,,,,,,,,,,,,,,,
6.563 ,8.500 ,9.250 ,9.313 ,,,,,,,,,,,,,,,,,
6.018 ,7.620 ,8.160 ,7.928 ,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,
START,,,,,,,,,,,,,,,,,,,,
4,21,,,,,,,,,,,,,,,,,,,
2,5,7,10,,,,,,,,,,,,,,,,,
0.000 ,0.050 ,0.100 ,0.150 ,0.200 ,0.250 ,0.300 ,0.350 ,0.400 ,0.450 ,0.500 ,0.550 ,0.600 ,0.650 ,0.700 ,0.750 ,0.800 ,0.850 ,0.900 ,0.950 ,1.000 
4.157 ,5.163 ,5.102 ,4.750 ,,,,,,,,,,,,,,,,,
4.625 ,5.750 ,5.719 ,5.250 ,,,,,,,,,,,,,,,,,
5.085 ,6.331 ,6.331 ,5.982 ,,,,,,,,,,,,,,,,,
5.531 ,6.875 ,6.906 ,6.813 ,,,,,,,,,,,,,,,,, 
5.956 ,7.323 ,7.518 ,7.688  ,,,,,,,,,,,,,,,,,
6.375 ,7.875 ,8.000 ,8.563 ,,,,,,,,,,,,,,,,, 
6.750 ,8.309 ,8.500 ,9.416 ,,,,,,,,,,,,,,,,, 
7.125 ,8.688 ,9.000 ,10.000 ,,,,,,,,,,,,,,,,, 
7.500 ,9.008 ,9.381 ,10.543 ,,,,,,,,,,,,,,,,, 
7.719 ,9.313 ,9.630 ,10.813 ,,,,,,,,,,,,,,,,, 
7.930 ,9.500 ,9.875 ,10.935 ,,,,,,,,,,,,,,,,, 
8.000 ,9.625 ,10.000 ,10.844 ,,,,,,,,,,,,,,,,, 
8.064 ,9.566 ,10.011 ,10.567 ,,,,,,,,,,,,,,,,, 
8.063 ,9.406 ,9.813 ,10.219 ,,,,,,,,,,,,,,,,, 
7.926 ,9.165 ,9.495 ,9.702 ,,,,,,,,,,,,,,,,, 
7.750 ,8.813 ,9.000 ,9.125 ,,,,,,,,,,,,,,,,, 
7.435 ,8.390 ,8.535 ,8.578 ,,,,,,,,,,,,,,,,, 
7.125 ,7.938 ,7.875 ,7.844 ,,,,,,,,,,,,,,,,, 
6.772 ,7.391 ,7.313 ,7.158 ,,,,,,,,,,,,,,,,,
6.375 ,6.875 ,6.625 ,6.375 ,,,,,,,,,,,,,,,,,
5.987 ,6.311 ,5.996 ,5.688 ,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,
START,,,,,,,,,,,,,,,,,,,,
4,21,,,,,,,,,,,,,,,,,,,
2,5,7,10,,,,,,,,,,,,,,,,,
0.000 ,0.050 ,0.100 ,0.150 ,0.200 ,0.250 ,0.300 ,0.350 ,0.400 ,0.450 ,0.500 ,0.550 ,0.600 ,0.650 ,0.700 ,0.750 ,0.800 ,0.850 ,0.900 ,0.950 ,1.000 
4.519 ,3.238 ,2.605 ,3.000 ,,,,,,,,,,,,,,,,,
4.522 ,3.550 ,3.000 ,3.225 ,,,,,,,,,,,,,,,,,
4.885 ,3.988 ,3.490 ,3.589 ,,,,,,,,,,,,,,,,,
5.250 ,4.400 ,4.050 ,4.000 ,,,,,,,,,,,,,,,,,
5.614 ,4.882 ,4.491 ,4.540 ,,,,,,,,,,,,,,,,,
6.000 ,5.400 ,5.200 ,5.050 ,,,,,,,,,,,,,,,,,
6.347 ,5.908 ,5.816 ,5.700 ,,,,,,,,,,,,,,,,,
6.650 ,6.350 ,6.350 ,6.400 ,,,,,,,,,,,,,,,,,
6.900 ,6.800 ,6.800 ,7.264 ,,,,,,,,,,,,,,,,, 
7.150 ,7.100 ,7.150 ,7.707 ,,,,,,,,,,,,,,,,, 
7.363 ,7.333 ,7.375 ,8.150 ,,,,,,,,,,,,,,,,, 
7.500 ,7.450 ,7.500 ,8.150 ,,,,,,,,,,,,,,,,, 
7.508 ,7.397 ,7.397 ,7.900 ,,,,,,,,,,,,,,,,, 
7.450 ,7.250 ,7.075 ,7.500 ,,,,,,,,,,,,,,,,, 
7.307 ,7.018 ,6.688 ,7.018 ,,,,,,,,,,,,,,,,, 
7.100 ,6.619 ,6.150 ,6.300 ,,,,,,,,,,,,,,,,, 
6.885 ,6.220 ,5.641 ,5.670 ,,,,,,,,,,,,,,,,, 
6.519 ,5.700 ,5.000 ,4.950 ,,,,,,,,,,,,,,,,, 
6.152 ,5.108 ,4.372 ,4.353 ,,,,,,,,,,,,,,,,,
5.700 ,4.550 ,3.800 ,3.700 ,,,,,,,,,,,,,,,,, 
5.312 ,3.969 ,3.240 ,3.125 ,,,,,,,,,,,,,,,,, 
END,,,,,,,,,,,,,,,,,,,,
START,,,,,,,,,,,,,,,,,,,,
4,21,,,,,,,,,,,,,,,,,,,
2,5,7,10,,,,,,,,,,,,,,,,,
0.000 ,0.050 ,0.100 ,0.150 ,0.200 ,0.250 ,0.300 ,0.350 ,0.400 ,0.450 ,0.500 ,0.550 ,0.600 ,0.650 ,0.700 ,0.750 ,0.800 ,0.850 ,0.900 ,0.950 ,1.000 
2.892 ,1.992 ,1.496 ,2.000 ,,,,,,,,,,,,,,,,,
3.315 ,2.000 ,1.700 ,2.100 ,,,,,,,,,,,,,,,,,
3.739 ,2.044 ,1.894 ,2.243 ,,,,,,,,,,,,,,,,,
4.164 ,2.213 ,2.094 ,2.342 ,,,,,,,,,,,,,,,,,
4.589 ,2.441 ,2.294 ,2.441 ,,,,,,,,,,,,,,,,,
4.957 ,2.651 ,2.484 ,2.558 ,,,,,,,,,,,,,,,,,
5.325 ,2.862 ,2.675 ,2.675 ,,,,,,,,,,,,,,,,,
5.651 ,3.091 ,2.791 ,2.708 ,,,,,,,,,,,,,,,,,
5.977 ,3.233 ,2.906 ,2.740 ,,,,,,,,,,,,,,,,,
6.237 ,3.285 ,2.945 ,2.750 ,,,,,,,,,,,,,,,,,
6.497 ,3.336 ,2.985 ,2.739 ,,,,,,,,,,,,,,,,,
6.586 ,3.300 ,2.883 ,2.650 ,,,,,,,,,,,,,,,,,
6.674 ,3.200 ,2.781 ,2.447 ,,,,,,,,,,,,,,,,,
6.536 ,3.045 ,2.629 ,2.260 ,,,,,,,,,,,,,,,,,
6.399 ,2.890 ,2.477 ,2.064 ,,,,,,,,,,,,,,,,,
6.093 ,2.646 ,2.251 ,1.856 ,,,,,,,,,,,,,,,,,
5.786 ,2.401 ,2.025 ,1.649 ,,,,,,,,,,,,,,,,,
5.360 ,2.120 ,1.767 ,1.444 ,,,,,,,,,,,,,,,,,
4.934 ,1.838 ,1.509 ,1.238 ,,,,,,,,,,,,,,,,,
4.459 ,1.603 ,1.301 ,1.049 ,,,,,,,,,,,,,,,,,
3.984 ,1.368 ,1.092 ,0.860 ,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,
START,,,,,,,,,,,,,,,,,,,,
4,21,,,,,,,,,,,,,,,,,,,
2,5,7,10,,,,,,,,,,,,,,,,,
0.000 ,0.050 ,0.100 ,0.150 ,0.200 ,0.250 ,0.300 ,0.350 ,0.400 ,0.450 ,0.500 ,0.550 ,0.600 ,0.650 ,0.700 ,0.750 ,0.800 ,0.850 ,0.900 ,0.950 ,1.000 
