id	db	name
K01551	KEGG	arsA, ASNA1, GET3; arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]
K06906	KEGG	gpU; phage tail protein
K06907	KEGG	FI; Bacteriophage tail sheath protein
K06908	KEGG	FII; Bacteriophage tail tube protein
K06909	KEGG	xtmB; phage terminase large subunit
K07474	KEGG	xtmA; phage terminase small subunit
K13099	KEGG	CD2BP2, PPP1R59; CD2 antigen cytoplasmic tail-binding protein 2
K16292	KEGG	CEP, CYSEP; KDEL-tailed cysteine endopeptidase [EC:3.4.22.-]
K19248	KEGG	VP1; Polyomaviridae major capsid protein VP1
K19249	KEGG	VP4; Rotavirus outer capsid protein VP4
K19252	KEGG	VP1; Dependoparvovirus capsid protein VP1/VP2/VP3
K19260	KEGG	L1; Papillomaviridae major capsid protein L1
K20521	KEGG	BBC1, MTI1; myosin tail region-interacting protein MTI1
K21078	KEGG	UL80; Cytomegalovirus capsid scaffolding protein [EC:3.4.21.97]
K21511	KEGG	C; Enterobacteria phage capsid assembly protease [EC:3.4.21.-]
K21512	KEGG	A; Enterobacteria phage terminase large subunit [EC:3.1.21.4]
K21523	KEGG	gp17; Straboviridae terminase, large subunit [EC:3.1.-.-]
K21524	KEGG	gp16; Straboviridae terminase, small subunit
K21531	KEGG	gp18; Straboviridae tail sheath protein
K21808	KEGG	L2; Alphapapillomavirus minor capsid protein L2
K22014	KEGG	Nu1, Noh; Enterobacteria phage terminase small subunit, DNA-packaging protein
K22384	KEGG	GET1, WRB; tail-anchored protein insertion receptor
K23129	KEGG	C; Orthohepadnavirus capsid protein
K24106	KEGG	N; SARS coronavirus nucleocapsid protein
K24596	KEGG	VP7; Rotavirus outer capsid protein VP7
K24597	KEGG	VP6; Rotavirus inner capsid protein VP6
K24598	KEGG	VP2; Rotavirus core capsid protein VP2
K25052	KEGG	CA; HTLV-1 capsid protein
K25053	KEGG	NC; HTLV-1 nucleocapsid protein
K25127	KEGG	VP1; Enterovirus C capsid protein VP1
K25306	KEGG	CA; HIV capsid protein
K25664	KEGG	NC; HIV-1 nucleocapsid protein
K25797	KEGG	VP1; Erythroparvovirus capsid protein VP1/VP2
K25928	KEGG	VP0; Enterovirus capsid protein VP0
K25929	KEGG	C; Alphavirus capsid protein [EC:3.4.21.90]
K26000	KEGG	C; Flavivirus capsid protein C
K26007	KEGG	L2; Mastadenovirus core-capsid bridging protein
K26014	KEGG	VP5, UL19; Herpesviridae major capsid protein
K26015	KEGG	VP19C, UL38; Herpesviridae triplex capsid protein 1
K26016	KEGG	VP23, UL18; Herpesviridae triplex capsid protein 2
K26017	KEGG	UL17; Herpesviridae capsid vertex component 1
K26018	KEGG	UL25; Herpesviridae capsid vertex component 2
K26020	KEGG	UL6; Herpesviridae portal protein
K26103	KEGG	TRM1, UL56; Cytomegalovirus tripartite terminase subunit 1
K26104	KEGG	TRM2, UL51; Cytomegalovirus tripartite terminase subunit 2
K26105	KEGG	TRM3, UL89; Cytomegalovirus tripartite terminase subunit 3
K26438	KEGG	S3; Aquareovirus major inner capsid protein VP3 [EC:5.6.2.-]
K26507	KEGG	BVRF2; Lymphocryptovirus capsid scaffolding protein [EC:3.4.21.97]
K26511	KEGG	VP1; Bocaparvovirus minor capsid protein VP1 [EC:3.1.1.4]
K26586	KEGG	COLQ; acetylcholinesterase collagenic tail peptide
K26695	KEGG	NP; Phenuiviridae nucleocapsid protein
K26754	KEGG	gp24; Straboviridae capsid vertex protein
K26755	KEGG	soc; Straboviridae small outer capsid protein
K26756	KEGG	hoc; Straboviridae highly immunogenic outer capsid protein
K26760	KEGG	inh; Straboviridae inhibitor of prohead protease Gp21, minor capsid protein
K26762	KEGG	gp22; Straboviridae capsid assembly scaffolding protein
K26765	KEGG	gp20; Straboviridae portal protein
K26771	KEGG	gp15; Straboviridae tail completion protein Gp15
K26772	KEGG	gp3; Tequatrovirus tail tube terminator protein
K26774	KEGG	gp19; Straboviridae tail tube protein Gp19
K26775	KEGG	gp34; Straboviridae long-tail fiber proximal subunit
K26776	KEGG	gp35; Straboviridae long-tail fiber protein Gp35
K26777	KEGG	gp36; Straboviridae long-tail fiber protein Gp36
K26778	KEGG	gp37; Straboviridae long-tail fiber protein Gp37
K26782	KEGG	gp12; Straboviridae short tail fiber protein Gp12
K26794	KEGG	gp48; Straboviridae baseplate tail-tube junction protein Gp48
K26795	KEGG	gp54; Straboviridae baseplate tail-tube junction protein Gp54
